employee_name,gender,leave_dates,leave_duration,leave_type,manager_name,team_name
'Marcelo Swinley',female,1/24/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/21/2022,2.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,6/14/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,1/23/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2/28/2022,0.5,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2/8/2022,1.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,4/22/2022,0.5,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,3/9/2022,0.5,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,1/25/2022,1.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,4/14/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/29/2023,0.5,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/9/2023,2.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/31/2023,0.5,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2/8/2023,1.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,3/2/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2/19/2023,2.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/20/2023,0.5,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,6/19/2023,0.5,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,3/4/2023,2.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,1/11/2023,1.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2/1/2023,2.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,6/8/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,6/25/2023,1.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2/21/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,5/13/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,3/9/2023,2.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,6/22/2023,0.5,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2/4/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,1/10/2023,2.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,1/1/2023,2.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,8/3/2022,0.5,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,8/29/2022,0.5,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,12/13/2022,2.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,12/6/2022,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,10/21/2022,1.0,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,11/27/2022,0.5,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,11/1/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,8/6/2022,1.0,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,8/13/2022,0.5,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,8/1/2022,0.5,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,10/29/2022,0.5,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,8/3/2022,2.0,'Sick Leave','Brenda Jefferson',IT
'Modesta Goulborne',female,6/5/2022,1.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,4/25/2022,2.0,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,4/14/2022,1.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,6/5/2022,2.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,1/22/2022,1.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,1/10/2022,1.0,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2/2/2022,1.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,1/15/2022,2.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,4/6/2022,0.5,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,6/19/2023,0.5,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,5/24/2023,1.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,5/16/2023,0.5,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,1/19/2023,1.0,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,6/13/2023,0.5,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,5/20/2023,2.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,3/2/2023,2.0,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,4/26/2023,1.0,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,9/11/2022,2.0,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,11/30/2022,1.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,7/31/2022,0.5,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,10/3/2022,1.0,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,8/9/2022,1.0,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,10/6/2022,0.5,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,9/19/2022,1.0,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,11/5/2022,2.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,7/12/2022,1.0,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,9/3/2022,2.0,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,10/12/2022,0.5,'Earned leave','Curtis Gardner',Data engineering
Killie O'Downe,female,2/3/2022,1.0,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,4/26/2022,2.0,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2/8/2022,1.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,3/28/2022,2.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2/27/2022,1.0,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,6/19/2022,1.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,6/16/2022,0.5,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,3/23/2022,2.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,5/16/2022,0.5,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2/13/2022,1.0,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,1/1/2023,1.0,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,1/11/2023,1.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2/13/2023,2.0,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2/13/2023,1.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2/19/2023,2.0,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,8/31/2022,0.5,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,9/26/2022,0.5,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,9/11/2022,0.5,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,11/9/2022,1.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,10/14/2022,2.0,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,11/26/2022,0.5,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,9/2/2022,2.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,10/29/2022,2.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,7/31/2022,1.0,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,10/12/2022,1.0,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,8/8/2022,1.0,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,12/17/2022,0.5,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,11/12/2022,2.0,'Sick Leave','Barbara Olson',IT
'Orren Shanley',male,1/14/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,3/2/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,6/1/2022,0.5,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,6/21/2022,2.0,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,1/28/2022,2.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,4/7/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,4/11/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2/22/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,1/27/2022,1.0,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,4/29/2022,1.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,6/20/2022,1.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2/25/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,1/23/2022,0.5,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,3/8/2023,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,5/7/2023,1.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,1/7/2023,2.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,4/18/2023,1.0,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,1/8/2023,2.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2/27/2023,2.0,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,6/27/2023,2.0,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,12/29/2022,0.5,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,7/28/2022,0.5,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,8/10/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,12/16/2022,1.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,11/18/2022,1.0,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,8/23/2022,1.0,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,8/17/2022,2.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,12/4/2022,1.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,12/26/2022,1.0,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,7/11/2022,2.0,'Casual Leave','Tammy Carey',dev ops
'Madel Lambourne',male,3/4/2022,1.0,'Sick Leave','David Davis',HR
'Madel Lambourne',male,1/3/2022,2.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,3/6/2022,1.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,1/13/2022,1.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,1/29/2022,0.5,'Sick Leave','David Davis',HR
'Madel Lambourne',male,5/14/2022,0.5,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2/20/2022,2.0,'Earned leave','David Davis',HR
'Madel Lambourne',male,1/28/2022,1.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2/14/2022,2.0,'Earned leave','David Davis',HR
'Madel Lambourne',male,6/15/2022,1.0,'Earned leave','David Davis',HR
'Madel Lambourne',male,5/7/2022,1.0,'Earned leave','David Davis',HR
'Madel Lambourne',male,5/31/2023,2.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2/3/2023,2.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,6/9/2023,1.0,'Sick Leave','David Davis',HR
'Madel Lambourne',male,6/3/2023,1.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,1/28/2023,2.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,9/26/2022,0.5,'Sick Leave','David Davis',HR
'Madel Lambourne',male,7/7/2022,1.0,'Earned leave','David Davis',HR
'Madel Lambourne',male,10/8/2022,0.5,'Sick Leave','David Davis',HR
'Madel Lambourne',male,8/21/2022,0.5,'Earned leave','David Davis',HR
'Madel Lambourne',male,12/11/2022,1.0,'Sick Leave','David Davis',HR
'Madel Lambourne',male,12/3/2022,1.0,'Earned leave','David Davis',HR
'Madel Lambourne',male,8/20/2022,0.5,'Earned leave','David Davis',HR
'Madel Lambourne',male,8/20/2022,1.0,'Earned leave','David Davis',HR
'Madel Lambourne',male,8/11/2022,0.5,'Earned leave','David Davis',HR
'Madel Lambourne',male,10/5/2022,2.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,7/28/2022,1.0,'Sick Leave','David Davis',HR
'Madel Lambourne',male,11/4/2022,1.0,'Casual Leave','David Davis',HR
'Madel Lambourne',male,11/9/2022,2.0,'Earned leave','David Davis',HR
'Ban Batha',female,2/23/2022,0.5,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2/13/2022,2.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,4/13/2022,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,1/28/2022,2.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,3/5/2022,1.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,4/12/2022,0.5,'Sick Leave','David Davis',Platform team
'Ban Batha',female,6/29/2022,2.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,4/8/2022,2.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2/19/2022,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,4/30/2022,0.5,'Sick Leave','David Davis',Platform team
'Ban Batha',female,6/17/2022,1.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,5/28/2022,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,3/28/2023,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,1/12/2023,1.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,1/24/2023,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,3/13/2023,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,5/21/2023,2.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,4/16/2023,0.5,'Earned leave','David Davis',Platform team
'Ban Batha',female,6/17/2023,0.5,'Earned leave','David Davis',Platform team
'Ban Batha',female,1/4/2023,1.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,3/6/2023,2.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,4/3/2023,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,1/3/2023,2.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,4/24/2023,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,5/16/2023,0.5,'Earned leave','David Davis',Platform team
'Ban Batha',female,1/7/2023,1.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,6/19/2023,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,12/20/2022,2.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,12/21/2022,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,11/24/2022,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,12/10/2022,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,10/31/2022,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,11/12/2022,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,12/5/2022,1.0,'Casual Leave','David Davis',Platform team
'Ban Batha',female,8/9/2022,2.0,'Sick Leave','David Davis',Platform team
'Ban Batha',female,7/18/2022,0.5,'Earned leave','David Davis',Platform team
'Ban Batha',female,9/1/2022,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,8/11/2022,1.0,'Earned leave','David Davis',Platform team
'Ban Batha',female,12/17/2022,1.0,'Casual Leave','David Davis',Platform team
'Emylee Grouvel',female,6/6/2022,0.5,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,1/19/2022,1.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2/4/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,1/29/2022,1.0,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,5/27/2022,0.5,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,6/7/2022,2.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,6/14/2022,1.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,5/12/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,3/27/2022,2.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,5/12/2022,2.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,1/13/2022,2.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,3/11/2022,0.5,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,3/25/2023,2.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,5/24/2023,0.5,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,3/29/2023,2.0,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,4/15/2023,2.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,6/15/2023,1.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,6/13/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,4/12/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,3/8/2023,2.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,1/10/2023,1.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,3/26/2023,1.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,1/7/2023,1.0,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,4/9/2023,1.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,7/18/2022,1.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,9/30/2022,1.0,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,8/28/2022,1.0,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,7/29/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,8/27/2022,1.0,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,8/12/2022,1.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,12/20/2022,2.0,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,12/20/2022,0.5,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,8/25/2022,0.5,'Casual Leave','Brenda Jefferson',IT
'Grady Gergler',female,6/11/2022,1.0,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,4/10/2022,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,4/21/2022,0.5,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,5/23/2022,2.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,1/10/2022,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,5/8/2022,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,3/3/2022,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,5/28/2022,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,3/29/2023,1.0,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,5/18/2023,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,5/5/2023,0.5,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,6/6/2023,0.5,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,4/17/2023,2.0,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,4/11/2023,1.0,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,1/19/2023,1.0,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,2/18/2023,0.5,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,6/6/2023,1.0,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,5/1/2023,2.0,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,12/26/2022,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,10/14/2022,1.0,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,8/1/2022,1.0,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,7/27/2022,1.0,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,8/5/2022,0.5,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,9/2/2022,1.0,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,10/13/2022,1.0,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,9/2/2022,2.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,8/26/2022,1.0,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,10/4/2022,0.5,'Casual Leave','Curtis Gardner',IT
'Lenora Brady',male,3/28/2022,0.5,'Casual Leave','Brenda Jefferson',Security
'Lenora Brady',male,1/28/2022,1.0,'Sick Leave','Brenda Jefferson',Security
'Lenora Brady',male,3/21/2022,2.0,'Sick Leave','Brenda Jefferson',Security
'Lenora Brady',male,6/10/2022,0.5,'Sick Leave','Brenda Jefferson',Security
'Lenora Brady',male,3/21/2022,0.5,'Casual Leave','Brenda Jefferson',Security
'Lenora Brady',male,1/18/2022,2.0,'Casual Leave','Brenda Jefferson',Security
'Lenora Brady',male,2/23/2022,2.0,'Earned leave','Brenda Jefferson',Security
'Lenora Brady',male,3/18/2022,1.0,'Sick Leave','Brenda Jefferson',Security
'Lenora Brady',male,3/17/2022,1.0,'Casual Leave','Brenda Jefferson',Security
'Lenora Brady',male,1/16/2022,0.5,'Casual Leave','Brenda Jefferson',Security
'Lenora Brady',male,6/29/2023,1.0,'Sick Leave','Brenda Jefferson',Security
'Lenora Brady',male,4/4/2023,0.5,'Sick Leave','Brenda Jefferson',Security
'Lenora Brady',male,1/10/2023,1.0,'Casual Leave','Brenda Jefferson',Security
'Lenora Brady',male,2/28/2023,0.5,'Earned leave','Brenda Jefferson',Security
