employee_name,gender,start_leave_date,to_leave_date,leave_type,manager_name,team_name
'Stormie Carek',male,2023-04-14,2023-04-14,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2023-04-17,2023-04-19,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2023-03-23,2023-03-24,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2023-05-20,2023-05-21,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2023-04-11,2023-04-12,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,2023-05-14,2023-05-14,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-08-06,2022-08-08,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-11-02,2022-11-02,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-08-21,2022-08-23,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-08-03,2022-08-04,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-08-16,2022-08-18,'Earned leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-07-05,2022-07-06,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-12-04,2022-12-05,'Sick Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-09-01,2022-09-03,'Casual Leave','Rebecca Davis',Finance
'Stormie Carek',male,2022-11-16,2022-11-18,'Sick Leave','Rebecca Davis',Finance
'Marcelo Swinley',female,2022-06-20,2022-06-20,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-05-31,2022-06-01,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-05-27,2022-05-29,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-05-01,2022-05-01,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-04-15,2022-04-17,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-03-20,2022-03-22,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-01-24,2022-01-25,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-05-21,2022-05-23,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-06-14,2022-06-15,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-01-23,2022-01-24,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-02-28,2022-02-28,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-02-08,2022-02-09,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-04-22,2022-04-22,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-03-09,2022-03-09,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-01-25,2022-01-26,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-04-14,2023-04-15,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-05-29,2023-05-29,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-05-09,2023-05-11,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-05-31,2023-05-31,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-02-08,2023-02-09,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-03-02,2023-03-03,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-02-19,2023-02-21,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-05-20,2023-05-20,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-06-19,2023-06-19,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-03-04,2023-03-06,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-01-11,2023-01-12,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-02-01,2023-02-03,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-06-08,2023-06-09,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-06-25,2023-06-26,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-02-21,2023-02-22,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-05-13,2023-05-14,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-03-09,2023-03-11,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-06-22,2023-06-22,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-02-04,2023-02-05,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-01-10,2023-01-12,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2023-01-01,2023-01-03,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-08-03,2022-08-03,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-08-29,2022-08-29,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-12-13,2022-12-15,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-12-06,2022-12-07,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-10-21,2022-10-22,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-11-27,2022-11-27,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-11-01,2022-11-02,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-08-06,2022-08-07,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-08-13,2022-08-13,'Earned leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-08-01,2022-08-01,'Sick Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-10-29,2022-10-29,'Casual Leave','Brenda Jefferson',IT
'Marcelo Swinley',female,2022-08-03,2022-08-05,'Sick Leave','Brenda Jefferson',IT
'Modesta Goulborne',female,2022-06-05,2022-06-06,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-04-25,2022-04-27,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-04-14,2022-04-15,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-06-05,2022-06-07,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-01-22,2022-01-23,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-01-10,2022-01-11,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-02-02,2022-02-03,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-01-15,2022-01-17,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-04-06,2022-04-06,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-06-19,2023-06-19,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-05-24,2023-05-25,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-05-16,2023-05-16,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-01-19,2023-01-20,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-06-13,2023-06-13,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-05-20,2023-05-22,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-03-02,2023-03-04,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2023-04-26,2023-04-27,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-09-11,2022-09-13,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-11-30,2022-12-01,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-07-31,2022-07-31,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-10-03,2022-10-04,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-08-09,2022-08-10,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-10-06,2022-10-06,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-09-19,2022-09-20,'Casual Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-11-05,2022-11-07,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-07-12,2022-07-13,'Earned leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-09-03,2022-09-05,'Sick Leave','Curtis Gardner',Data engineering
'Modesta Goulborne',female,2022-10-12,2022-10-12,'Earned leave','Curtis Gardner',Data engineering
Killie O'Downe,female,2022-02-03,2022-02-04,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,2022-04-26,2022-04-28,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2022-02-08,2022-02-09,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-03-28,2022-03-30,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-02-27,2022-02-28,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,2022-06-19,2022-06-20,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-06-16,2022-06-16,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,2022-03-23,2022-03-25,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-05-16,2022-05-16,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2022-02-13,2022-02-14,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,2023-01-01,2023-01-02,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2023-01-11,2023-01-12,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2023-02-13,2023-02-15,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2023-02-13,2023-02-14,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2023-02-19,2023-02-21,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2022-08-31,2022-08-31,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,2022-09-26,2022-09-26,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,2022-09-11,2022-09-11,'Casual Leave','Barbara Olson',IT
Killie O'Downe,female,2022-11-09,2022-11-10,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-10-14,2022-10-16,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2022-11-26,2022-11-26,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-09-02,2022-09-04,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-10-29,2022-10-31,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-07-31,2022-08-01,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2022-10-12,2022-10-13,'Sick Leave','Barbara Olson',IT
Killie O'Downe,female,2022-08-08,2022-08-09,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-12-17,2022-12-17,'Earned leave','Barbara Olson',IT
Killie O'Downe,female,2022-11-12,2022-11-14,'Sick Leave','Barbara Olson',IT
'Orren Shanley',male,2022-01-14,2022-01-15,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-03-02,2022-03-03,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-06-01,2022-06-01,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-06-21,2022-06-23,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-01-28,2022-01-30,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-04-07,2022-04-08,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-04-11,2022-04-12,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-02-22,2022-02-23,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-01-27,2022-01-28,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-04-29,2022-04-30,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-06-20,2022-06-21,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-02-25,2022-02-26,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-01-23,2022-01-23,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2023-03-08,2023-03-09,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2023-05-07,2023-05-08,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2023-01-07,2023-01-09,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2023-04-18,2023-04-19,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,2023-01-08,2023-01-10,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2023-02-27,2023-03-01,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,2023-06-27,2023-06-29,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-12-29,2022-12-29,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-07-28,2022-07-28,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-08-10,2022-08-11,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-12-16,2022-12-17,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-11-18,2022-11-19,'Sick Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-08-23,2022-08-24,'Earned leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-08-17,2022-08-19,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-12-04,2022-12-05,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-12-26,2022-12-27,'Casual Leave','Tammy Carey',dev ops
'Orren Shanley',male,2022-07-11,2022-07-13,'Casual Leave','Tammy Carey',dev ops
'Madel Lambourne',male,2022-03-04,2022-03-05,'Sick Leave','David Davis',HR
'Madel Lambourne',male,2022-01-03,2022-01-05,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-03-06,2022-03-07,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-01-13,2022-01-14,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-01-29,2022-01-29,'Sick Leave','David Davis',HR
'Madel Lambourne',male,2022-05-14,2022-05-14,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-02-20,2022-02-22,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-01-28,2022-01-29,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-02-14,2022-02-16,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-06-15,2022-06-16,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-05-07,2022-05-08,'Earned leave','David Davis',HR
'Madel Lambourne',male,2023-05-31,2023-06-02,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2023-02-03,2023-02-05,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2023-06-09,2023-06-10,'Sick Leave','David Davis',HR
'Madel Lambourne',male,2023-06-03,2023-06-04,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2023-01-28,2023-01-30,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-09-26,2022-09-26,'Sick Leave','David Davis',HR
'Madel Lambourne',male,2022-07-07,2022-07-08,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-10-08,2022-10-08,'Sick Leave','David Davis',HR
'Madel Lambourne',male,2022-08-21,2022-08-21,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-12-11,2022-12-12,'Sick Leave','David Davis',HR
'Madel Lambourne',male,2022-12-03,2022-12-04,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-08-20,2022-08-20,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-08-20,2022-08-21,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-08-11,2022-08-11,'Earned leave','David Davis',HR
'Madel Lambourne',male,2022-10-05,2022-10-07,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-07-28,2022-07-29,'Sick Leave','David Davis',HR
'Madel Lambourne',male,2022-11-04,2022-11-05,'Casual Leave','David Davis',HR
'Madel Lambourne',male,2022-11-09,2022-11-11,'Earned leave','David Davis',HR
'Ban Batha',female,2022-02-23,2022-02-23,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-02-13,2022-02-15,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-04-13,2022-04-14,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2022-01-28,2022-01-30,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-03-05,2022-03-06,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-04-12,2022-04-12,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-06-29,2022-07-01,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2022-04-08,2022-04-10,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2022-02-19,2022-02-20,'Earned leave','David Davis',Platform team
'Ban Batha',female,2022-04-30,2022-04-30,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-06-17,2022-06-18,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-05-28,2022-05-29,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2023-03-28,2023-03-29,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2023-01-12,2023-01-13,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2023-01-24,2023-01-25,'Earned leave','David Davis',Platform team
'Ban Batha',female,2023-03-13,2023-03-14,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2023-05-21,2023-05-23,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2023-04-16,2023-04-16,'Earned leave','David Davis',Platform team
'Ban Batha',female,2023-06-17,2023-06-17,'Earned leave','David Davis',Platform team
'Ban Batha',female,2023-01-04,2023-01-05,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2023-03-06,2023-03-08,'Earned leave','David Davis',Platform team
'Ban Batha',female,2023-04-03,2023-04-04,'Earned leave','David Davis',Platform team
'Ban Batha',female,2023-01-03,2023-01-05,'Earned leave','David Davis',Platform team
'Ban Batha',female,2023-04-24,2023-04-25,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2023-05-16,2023-05-16,'Earned leave','David Davis',Platform team
'Ban Batha',female,2023-01-07,2023-01-08,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2023-06-19,2023-06-20,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2022-12-20,2022-12-22,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-12-21,2022-12-22,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2022-11-24,2022-11-25,'Earned leave','David Davis',Platform team
'Ban Batha',female,2022-12-10,2022-12-11,'Earned leave','David Davis',Platform team
'Ban Batha',female,2022-10-31,2022-11-01,'Earned leave','David Davis',Platform team
'Ban Batha',female,2022-11-12,2022-11-13,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2022-12-05,2022-12-06,'Casual Leave','David Davis',Platform team
'Ban Batha',female,2022-08-09,2022-08-11,'Sick Leave','David Davis',Platform team
'Ban Batha',female,2022-07-18,2022-07-18,'Earned leave','David Davis',Platform team
'Ban Batha',female,2022-09-01,2022-09-02,'Earned leave','David Davis',Platform team
'Ban Batha',female,2022-08-11,2022-08-12,'Earned leave','David Davis',Platform team
'Ban Batha',female,2022-12-17,2022-12-18,'Casual Leave','David Davis',Platform team
'Emylee Grouvel',female,2022-06-06,2022-06-06,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-01-19,2022-01-20,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-02-04,2022-02-05,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-01-29,2022-01-30,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-05-27,2022-05-27,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-06-07,2022-06-09,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-06-14,2022-06-15,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-05-12,2022-05-13,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-03-27,2022-03-29,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-05-12,2022-05-14,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-01-13,2022-01-15,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-03-11,2022-03-11,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-03-25,2023-03-27,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-05-24,2023-05-24,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-03-29,2023-03-31,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-04-15,2023-04-17,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-06-15,2023-06-16,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-06-13,2023-06-14,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-04-12,2023-04-13,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-03-08,2023-03-10,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-01-10,2023-01-11,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-03-26,2023-03-27,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-01-07,2023-01-08,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2023-04-09,2023-04-10,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-07-18,2022-07-19,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-09-30,2022-10-01,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-08-28,2022-08-29,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-07-29,2022-07-30,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-08-27,2022-08-28,'Sick Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-08-12,2022-08-13,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-12-20,2022-12-22,'Earned leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-12-20,2022-12-20,'Casual Leave','Brenda Jefferson',IT
'Emylee Grouvel',female,2022-08-25,2022-08-25,'Casual Leave','Brenda Jefferson',IT
'Grady Gergler',female,2022-06-11,2022-06-12,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,2022-04-10,2022-04-11,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2022-04-21,2022-04-21,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,2022-05-23,2022-05-25,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2022-01-10,2022-01-11,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2022-05-08,2022-05-09,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2022-03-03,2022-03-04,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2022-05-28,2022-05-29,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2023-03-29,2023-03-30,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,2023-05-18,2023-05-19,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2023-05-05,2023-05-05,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,2023-06-06,2023-06-06,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,2023-04-17,2023-04-19,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,2023-04-11,2023-04-12,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,2023-01-19,2023-01-20,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,2023-02-18,2023-02-18,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,2023-06-06,2023-06-07,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,2023-05-01,2023-05-03,'Sick Leave','Curtis Gardner',IT
'Grady Gergler',female,2022-12-26,2022-12-27,'Casual Leave','Curtis Gardner',IT
'Grady Gergler',female,2022-10-14,2022-10-15,'Earned leave','Curtis Gardner',IT
'Grady Gergler',female,2022-08-01,2022-08-02,'Sick Leave','Curtis Gardner',IT
